Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Male,Loyal Customer,66,Personal Travel,Business,1878,0,1,1,5,1,5,1,5,2,5,1,4,2,0,0,FALSE
Male,Loyal Customer,30,Business travel,Eco,1031,0,3,0,3,2,3,5,3,1,4,3,5,1,0,4,FALSE
Female,Loyal Customer,54,Personal Travel,Eco,2858,0,1,0,4,2,3,4,3,2,3,2,3,2,0,0,FALSE
Male,Loyal Customer,24,Personal Travel,Eco Plus,1704,1,5,2,1,5,2,1,3,4,3,3,1,2,0,1,FALSE
Female,Loyal Customer,67,Business travel,Eco,1234,5,4,4,3,2,5,4,5,4,3,2,2,2,66,63,TRUE
Male,disloyal Customer,18,Personal Travel,Business,1879,3,3,4,4,4,5,3,5,1,1,5,5,3,0,0,TRUE
Female,Loyal Customer,38,Personal Travel,Business,3097,1,4,0,3,4,5,5,2,2,3,3,2,5,0,5,TRUE
Female,Loyal Customer,68,Business travel,Eco Plus,1130,4,0,0,4,1,1,5,2,2,4,1,5,2,34,35,FALSE
Male,Loyal Customer,34,Business travel,Eco Plus,2269,1,1,0,3,3,1,5,5,2,5,4,2,1,0,2,TRUE
Male,disloyal Customer,64,Business travel,Eco,2255,5,3,1,5,2,2,5,5,4,2,2,4,4,0,0,TRUE
Female,Loyal Customer,35,Business travel,Business,371,3,5,2,1,1,2,2,2,5,4,1,2,4,0,9,FALSE
Male,disloyal Customer,13,Business travel,Business,551,0,0,1,2,2,4,4,4,2,4,1,1,2,0,7,TRUE
Female,disloyal Customer,59,Business travel,Eco Plus,1882,1,1,2,2,5,1,5,5,1,3,5,1,1,75,75,TRUE
Male,disloyal Customer,14,Personal Travel,Eco,2587,3,0,4,2,1,5,5,1,5,1,1,4,5,0,3,FALSE
Male,Loyal Customer,29,Personal Travel,Eco Plus,1771,3,2,0,1,3,4,5,5,1,1,2,5,2,0,0,TRUE
Female,disloyal Customer,65,Personal Travel,Eco Plus,1317,4,5,2,5,2,5,1,5,3,1,2,2,3,0,0,FALSE
Female,Loyal Customer,22,Business travel,Eco,2965,3,2,0,1,4,4,3,1,1,3,3,2,3,21,29,FALSE
Male,Loyal Customer,69,Personal Travel,Business,297,4,1,3,2,5,1,3,3,1,3,3,2,2,0,6,FALSE
Female,disloyal Customer,56,Personal Travel,Eco,815,0,1,5,3,2,4,2,3,2,1,2,4,1,0,1,FALSE
Female,Loyal Customer,61,Personal Travel,Eco,246,2,2,0,3,2,3,5,4,5,3,2,1,1,0,3,TRUE
Male,Loyal Customer,36,Business travel,Business,3371,4,4,0,4,3,5,2,3,1,4,3,1,5,0,6,FALSE
Female,Loyal Customer,51,Business travel,Business,1435,4,2,5,4,1,3,4,3,5,2,1,2,4,86,86,FALSE
Female,Loyal Customer,62,Personal Travel,Eco Plus,1325,4,4,5,3,2,4,4,4,2,5,2,4,2,0,4,TRUE
Female,Loyal Customer,69,Personal Travel,Business,1421,1,0,0,2,2,4,5,1,4,4,2,5,2,90,100,FALSE
Female,Loyal Customer,50,Personal Travel,Eco,3338,1,5,4,4,4,1,5,2,1,4,4,2,4,0,9,FALSE
Female,disloyal Customer,44,Business travel,Eco,3196,2,1,5,3,4,5,4,2,3,4,4,1,3,0,5,TRUE
Female,disloyal Customer,14,Personal Travel,Eco,1097,5,1,0,4,4,4,3,5,4,4,4,1,2,54,49,TRUE
Female,Loyal Customer,69,Business travel,Eco Plus,3236,4,5,5,5,4,5,2,4,2,3,4,4,4,4,9,TRUE
Female,Loyal Customer,62,Business travel,Eco,2698,3,4,4,1,1,1,4,2,4,2,5,1,3,0,1,FALSE
Female,Loyal Customer,57,Business travel,Eco Plus,3230,0,3,0,5,4,1,3,2,1,1,4,1,2,0,0,FALSE
Male,Loyal Customer,51,Personal Travel,Business,1042,2,1,4,5,4,1,2,3,1,5,4,1,3,74,81,FALSE
Male,Loyal Customer,53,Personal Travel,Eco,3005,0,4,0,3,5,5,4,3,1,5,3,3,1,54,52,TRUE
Female,disloyal Customer,49,Business travel,Business,776,5,4,5,3,4,5,5,4,4,4,4,5,3,0,0,TRUE
Female,disloyal Customer,24,Business travel,Business,2649,0,3,2,2,4,4,2,3,3,3,4,3,5,0,0,FALSE
Male,Loyal Customer,55,Business travel,Eco Plus,2424,5,5,3,4,2,1,1,3,2,4,2,2,3,0,10,FALSE
Female,Loyal Customer,56,Business travel,Eco Plus,3028,2,2,1,1,3,2,3,1,5,2,4,2,2,0,4,FALSE
Male,disloyal Customer,27,Personal Travel,Eco Plus,884,5,4,1,3,2,1,1,5,3,2,3,4,1,0,10,FALSE
Female,Loyal Customer,20,Personal Travel,Eco Plus,2106,3,3,0,5,1,1,2,2,5,3,1,1,2,16,18,FALSE
Female,Loyal Customer,37,Business travel,Business,1906,4,0,4,1,4,2,2,3,1,2,3,2,2,0,0,FALSE
Male,Loyal Customer,53,Business travel,Eco Plus,283,5,2,5,4,2,1,2,3,5,2,2,4,1,0,0,FALSE
Female,disloyal Customer,13,Personal Travel,Eco,3396,5,4,2,4,4,1,4,3,4,3,3,5,5,64,61,FALSE
Male,disloyal Customer,56,Business travel,Business,1175,1,5,4,5,1,1,3,5,1,2,1,4,5,84,87,FALSE
Male,disloyal Customer,36,Business travel,Eco,2075,2,2,5,1,3,2,3,4,4,3,3,4,5,5,2,FALSE
Female,Loyal Customer,16,Business travel,Business,154,3,0,1,5,5,3,5,4,4,1,5,2,3,0,4,TRUE
Female,disloyal Customer,40,Personal Travel,Eco,2730,5,1,2,5,5,1,5,4,1,2,5,1,4,0,10,TRUE
Female,Loyal Customer,26,Business travel,Eco Plus,2084,4,1,3,2,2,5,5,2,1,3,2,4,3,0,0,TRUE
Female,Loyal Customer,62,Business travel,Eco,1979,2,2,4,5,5,4,4,3,2,2,5,5,4,30,26,TRUE
Female,Loyal Customer,54,Business travel,Eco Plus,2868,0,1,4,5,2,3,1,4,1,5,2,4,1,19,18,FALSE
Male,Loyal Customer,25,Business travel,Business,2987,2,5,4,4,3,3,4,5,1,5,4,1,2,0,2,TRUE
Male,Loyal Customer,15,Personal Travel,Eco Plus,831,0,2,0,3,2,3,3,4,2,2,3,5,4,0,0,FALSE
Male,Loyal Customer,64,Business travel,Business,2948,4,1,1,4,2,3,4,3,1,4,2,3,5,0,9,FALSE
Female,disloyal Customer,28,Business travel,Business,1174,1,3,3,1,4,2,4,5,3,5,4,3,3,3,6,TRUE
Male,Loyal Customer,52,Personal Travel,Business,3202,1,4,2,2,4,2,5,3,2,1,4,1,3,0,6,TRUE
Male,Loyal Customer,27,Business travel,Business,1851,1,4,2,5,2,5,3,2,3,4,2,3,3,15,12,FALSE
Male,Loyal Customer,23,Business travel,Business,1648,0,2,4,1,1,4,3,3,5,4,1,3,1,0,10,FALSE
Male,Loyal Customer,69,Business travel,Business,1056,5,2,5,4,1,1,2,1,1,3,1,4,1,0,0,FALSE
Female,Loyal Customer,51,Business travel,Business,3190,5,0,3,5,2,4,3,1,3,2,2,4,4,0,0,FALSE
Female,Loyal Customer,50,Business travel,Eco,1780,0,3,0,2,3,5,1,1,3,2,3,2,5,0,1,FALSE
Male,disloyal Customer,23,Business travel,Eco,3380,2,1,1,5,4,3,2,1,1,2,5,1,3,0,0,FALSE
Male,Loyal Customer,17,Business travel,Business,615,3,2,4,5,1,1,4,5,2,5,1,1,5,39,34,FALSE
Male,disloyal Customer,63,Business travel,Eco Plus,2960,5,3,0,1,1,3,5,2,1,2,1,3,5,0,7,FALSE
Female,Loyal Customer,47,Business travel,Eco,3398,5,1,3,4,2,2,4,3,4,4,1,4,1,41,46,FALSE
Female,Loyal Customer,18,Business travel,Eco,523,3,0,5,3,1,2,5,1,5,5,1,5,3,0,8,FALSE
Female,disloyal Customer,69,Business travel,Business,360,2,2,0,5,4,5,2,2,4,2,3,1,3,0,0,FALSE
Female,Loyal Customer,60,Business travel,Business,3293,5,5,4,1,5,5,3,1,2,3,5,3,3,0,0,TRUE
